aX,aY,aZ,gX,gY,gZ
-0.524,-0.358,1.263,-145.325,-178.223,-60.791
-0.246,-0.363,1.090,-185.730,-189.331,-80.566
-0.335,-0.238,0.919,-194.153,-170.044,-93.384
-0.485,-0.133,0.859,-169.556,-129.883,-86.975
-0.544,-0.061,1.041,-133.301,-80.750,-78.003
-0.683,-0.080,0.864,-111.206,-20.752,-74.097
-0.487,-0.213,0.858,-94.360,57.068,-77.087
-0.385,-0.177,0.806,-75.317,101.440,-72.144
-0.385,-0.251,0.826,-54.321,103.271,-61.523
-0.580,-0.348,0.701,-48.096,82.886,-65.369
-0.495,-0.381,0.661,-54.688,87.952,-80.200
-0.591,-0.314,0.664,-58.044,117.126,-87.891
-0.574,-0.282,0.578,-56.458,133.911,-96.008
-0.261,-0.249,0.695,-44.250,131.897,-105.591
-0.223,-0.185,0.850,-35.706,121.704,-105.469
-0.318,-0.157,0.926,-37.292,108.154,-99.548
-0.341,-0.139,0.875,-42.236,103.088,-99.731
-0.310,-0.129,0.856,-47.974,114.380,-101.929
-0.357,-0.138,0.915,-60.242,134.338,-106.384
-0.358,-0.166,0.970,-72.754,151.794,-112.549
-0.216,-0.087,0.922,-80.811,159.485,-115.906
-0.156,0.036,0.791,-86.304,157.227,-114.868
0.493,0.008,1.306,-87.585,152.405,-113.220
-0.219,0.037,1.027,-105.774,22.217,-106.323
-0.270,-0.070,0.964,-111.816,-64.331,-114.380
-0.269,0.001,1.118,-105.957,-50.354,-124.207
-0.300,0.125,1.254,-92.590,-53.162,-123.962
-0.510,0.132,1.149,-76.721,-58.533,-122.803
-0.219,-0.015,1.228,-65.186,-58.960,-121.094
-0.228,-0.023,0.984,-51.025,-50.232,-127.380
-0.157,0.120,0.957,-42.419,-43.579,-134.399
-0.072,0.204,0.908,-29.968,-43.274,-127.808
0.012,0.180,0.961,-18.188,-45.288,-112.183
-0.085,0.135,1.068,-17.822,-37.598,-103.394
-0.289,0.130,1.078,-27.527,-33.142,-93.750
-0.453,0.156,1.120,-37.598,-28.687,-90.515
-0.440,0.204,1.095,-44.006,-23.743,-90.393
-0.383,0.428,0.900,-44.617,-21.790,-82.458
-0.520,0.613,0.691,-23.437,-24.902,-75.012
-0.536,0.376,0.814,20.630,-32.837,-62.134
-0.536,0.081,1.163,48.584,-34.546,-40.955
-0.692,0.117,1.168,36.133,-12.390,-35.522
-0.330,0.199,0.776,-4.089,9.155,-55.298
-0.156,0.278,0.858,-16.296,14.160,-68.115
-0.280,0.308,0.954,-13.977,-4.150,-70.862
-0.375,0.179,0.832,-11.597,-20.630,-81.970
-0.367,0.140,0.698,-12.085,-38.269,-91.553
