aX,aY,aZ,gX,gY,gZ
-1.313,0.485,1.948,83.557,80.933,-54.443
-1.075,0.506,1.014,50.232,277.588,-41.626
-0.847,0.321,0.517,16.479,428.284,1.526
-0.665,0.207,0.293,5.188,469.849,17.273
-0.565,0.271,0.338,6.836,427.734,16.907
-0.511,0.350,0.550,10.498,371.521,16.418
-0.484,0.359,0.659,11.230,334.961,18.188
-0.406,0.342,0.680,9.460,312.805,20.691
-0.293,0.356,0.620,12.573,286.438,26.428
-0.013,0.358,0.621,18.433,242.065,36.377
0.096,0.391,0.573,21.362,169.250,44.128
0.172,0.393,0.585,16.663,77.087,46.265
0.134,0.332,0.506,8.606,-28.015,39.001
0.009,0.336,0.435,0.977,-140.381,19.043
-0.158,0.388,0.511,-6.287,-239.990,-4.822
-0.304,0.408,0.600,-7.690,-294.800,-26.611
-0.556,0.410,0.685,-10.010,-315.125,-50.964
-0.682,0.359,0.823,-14.465,-285.034,-71.228
-0.811,0.333,0.800,-16.724,-246.765,-71.106
-1.292,0.359,0.907,-11.780,-207.458,-56.702
-1.711,0.412,0.923,-5.005,-138.306,-45.898
-1.254,0.365,0.548,4.456,-46.753,-47.913
-0.741,0.334,0.608,17.090,2.014,-52.002
-0.495,0.298,0.746,18.738,8.240,-54.077
-0.458,0.250,0.752,10.742,2.380,-57.617
-0.539,0.268,0.785,1.770,-6.104,-63.171
-0.627,0.311,0.745,-6.409,-9.583,-67.993
-0.510,0.762,0.405,-11.047,-8.057,-65.125
-0.621,0.573,0.806,-0.916,28.259,-27.649
-0.674,0.573,0.686,-8.423,10.132,-21.729
-0.666,0.628,0.722,-16.235,-1.953,-16.296
-0.719,0.625,0.771,-25.391,5.554,2.197
-0.840,0.532,0.756,-37.231,15.015,19.409
-1.205,0.401,0.568,-56.885,37.537,46.143
-1.191,0.439,0.613,-99.243,94.421,84.412
-1.094,0.364,0.878,-116.760,179.504,98.267
0.109,1.042,1.960,-93.994,219.055,50.964
-0.201,0.740,1.344,35.278,117.920,-45.105
-0.959,0.682,1.044,135.498,-2.014,-75.317
-1.073,0.628,0.879,151.550,-73.730,-39.124
-0.983,0.501,0.960,185.547,-93.445,-18.372
-0.953,0.431,0.968,196.655,-86.426,-23.315
-0.887,0.498,1.012,178.528,-71.228,-29.663
