aX,aY,aZ,gX,gY,gZ
0.177,-0.963,0.770,-32.471,-125.610,41.992
0.239,-0.824,0.548,-84.961,-124.634,51.086
0.189,-0.708,0.441,-95.947,-125.916,58.960
0.147,-0.623,0.368,-88.501,-123.047,62.683
0.118,-0.570,0.379,-64.758,-116.821,57.739
0.091,-0.543,0.329,-40.100,-110.962,47.424
0.185,-0.577,0.174,-8.728,-105.408,31.494
0.205,-0.686,0.210,43.152,-94.666,20.142
0.183,-0.833,0.390,88.745,-84.778,17.456
0.169,-0.915,0.568,116.821,-78.613,18.311
0.148,-0.957,0.700,126.953,-76.721,16.357
0.154,-1.007,0.774,121.399,-75.256,9.766
0.197,-1.047,0.721,102.051,-74.158,-0.427
0.208,-1.057,0.586,74.768,-73.242,-8.545
0.223,-1.018,0.537,41.138,-69.214,-10.803
0.227,-0.960,0.476,6.287,-65.796,-6.775
0.208,-0.927,0.434,-17.151,-62.195,2.197
0.168,-0.896,0.433,-24.109,-60.730,13.245
0.152,-0.848,0.440,-19.043,-60.608,20.386
0.146,-0.809,0.434,-7.507,-56.702,23.193
0.119,-0.804,0.476,6.836,-49.561,23.560
0.116,-0.853,0.495,20.020,-39.246,17.761
0.147,-0.917,0.460,31.494,-27.222,7.568
0.170,-0.970,0.532,43.823,-15.686,-2.136
0.219,-1.009,0.577,47.607,-8.423,-9.949
0.236,-1.006,0.498,40.649,-4.028,-12.573
0.223,-0.964,0.455,33.020,-3.540,-6.531
0.213,-0.885,0.409,29.541,-23.743,-1.465
0.133,-0.882,0.405,31.311,-37.964,1.099
0.065,-0.946,0.443,28.931,-43.030,2.563
0.040,-0.980,0.453,19.165,-36.011,0.122
0.088,-0.955,0.418,6.653,-21.301,-4.333
0.168,-0.894,0.364,-0.732,-8.240,-9.094
0.185,-0.862,0.358,2.502,-3.784,-11.658
0.146,-0.858,0.416,11.902,-6.653,-9.644
0.123,-0.890,0.481,20.874,-10.925,-7.141
0.114,-0.933,0.517,26.001,-11.047,-7.324
0.115,-0.949,0.519,26.978,-7.263,-9.583
0.112,-0.939,0.508,25.269,-2.441,-12.390
0.123,-0.966,0.513,21.912,3.418,-14.404
0.141,-0.988,0.498,15.198,8.545,-13.550
0.178,-0.956,0.456,5.859,12.451,-8.362
0.199,-0.877,0.427,-1.770,15.381,-1.343
0.142,-0.864,0.398,-5.310,17.822,1.770
0.088,-0.931,0.390,-5.493,21.118,3.784
0.037,-0.938,0.381,-2.258,25.024,9.155
0.038,-0.915,0.348,6.104,34.302,15.320
0.018,-0.915,0.434,22.217,42.603,21.912
-0.001,-0.922,0.479,26.306,46.204,28.076
0.117,-0.497,0.389,29.968,54.688,30.212
0.031,-0.480,0.384,42.480,57.190,-1.099
-0.120,-1.056,0.495,53.284,56.946,-43.152
-0.036,-1.048,0.350,43.945,59.387,-30.823
0.101,-0.853,0.313,33.569,53.894,-14.404
0.153,-0.752,0.354,40.955,43.091,-18.433
0.167,-0.581,0.352,53.162,31.250,-41.931
0.069,-0.655,0.374,58.655,18.921,-83.740
-0.017,-0.888,0.382,56.763,13.245,-111.633
-0.010,-1.193,0.366,47.729,18.433,-111.267
