aX,aY,aZ,gX,gY,gZ
-0.813,1.575,0.885,-96.924,49.927,-52.368
-0.439,1.280,0.692,28.259,96.191,-3.540
-0.517,1.060,0.111,83.008,66.589,73.608
-0.280,1.083,0.225,31.128,7.019,128.540
-0.485,1.112,0.238,1.770,-27.710,151.428
-0.566,1.032,0.353,22.034,-35.950,142.029
-0.931,0.747,0.473,53.223,-36.865,116.333
-0.910,0.418,0.612,80.017,-21.545,91.736
-0.798,0.283,0.705,83.130,0.488,86.975
-0.802,0.655,0.502,36.255,13.977,76.843
-0.718,0.826,0.446,4.150,7.935,59.631
-0.476,0.868,0.606,7.263,8.545,44.617
-0.296,0.928,0.674,7.507,14.160,36.560
-0.241,0.946,0.708,-4.272,24.780,48.096
-0.285,0.893,0.714,-20.874,39.246,80.688
-0.469,0.934,0.643,-43.701,55.054,108.643
-0.593,1.031,0.580,-66.528,68.359,111.206
-0.638,1.011,0.566,-72.266,73.730,89.783
-0.617,0.885,0.635,-65.857,75.745,60.364
-0.637,0.830,0.548,-50.415,85.022,37.048
-0.626,0.821,0.496,-27.588,101.074,23.254
-0.618,0.802,0.422,-11.841,115.356,19.287
-0.617,0.790,0.429,-4.822,114.502,15.442
-0.567,0.677,0.397,-2.075,111.450,7.935
-0.547,0.628,0.371,0.122,117.859,9.277
-0.462,0.502,0.448,-5.066,122.742,16.357
-0.591,0.823,0.304,-34.058,119.019,27.344
-0.565,0.750,0.228,-41.626,98.206,8.240
-0.453,0.599,0.364,-13.489,82.214,-21.912
-0.311,0.404,0.455,9.888,82.642,-22.461
-0.298,0.201,0.681,18.616,74.585,0.549
-0.495,0.330,0.607,-22.888,50.842,35.461
-0.686,0.616,0.076,-67.749,24.536,55.176
-0.669,0.539,0.056,-15.198,35.095,48.645
-0.498,0.425,0.388,50.415,50.903,34.668
-0.531,0.377,0.330,74.341,37.476,28.564
-0.556,0.282,0.374,78.125,26.123,29.419
-0.520,0.375,0.387,60.852,16.418,30.701
-0.576,0.361,0.377,78.918,2.686,26.917
-0.662,0.437,0.437,79.224,11.230,27.222
-0.594,0.365,0.813,46.448,33.630,21.545
-0.659,0.416,0.683,13.367,63.782,21.423
-0.570,0.539,0.576,1.038,83.252,32.288
-0.439,0.598,0.565,5.493,78.613,35.706
-0.418,0.577,0.544,6.592,58.594,34.607
-0.391,0.535,0.543,7.568,41.077,34.912
-0.417,0.503,0.533,13.855,24.597,36.194
-0.476,0.494,0.541,22.583,5.005,33.875
-0.447,0.492,0.630,31.006,-15.198,32.593
-0.446,0.455,0.635,39.856,-26.367,31.433
-0.480,0.432,0.648,48.584,-37.720,35.278
-0.511,0.444,0.626,56.580,-43.823,42.603
-0.552,0.414,0.591,63.965,-40.833,53.162
-0.615,0.422,0.560,69.946,-34.851,56.458
-0.641,0.428,0.522,72.937,-38.452,49.377
-0.574,0.382,0.564,75.195,-52.490,41.382
-0.503,0.342,0.575,77.271,-57.495,37.659
-0.495,0.378,0.596,74.524,-57.190,41.260
-0.536,0.413,0.651,68.237,-54.749,46.753
-0.613,0.409,0.745,59.509,-52.185,49.194
-0.662,0.424,0.861,49.927,-45.227,49.377
-0.735,0.479,1.001,39.612,-32.288,49.072
-0.677,0.582,0.920,26.794,-12.329,43.152
-0.556,0.630,0.564,17.029,-3.357,32.166
-0.641,0.596,0.556,25.635,-23.071,25.391
-0.589,0.487,0.579,34.241,-38.757,19.836
-0.613,0.479,0.616,33.203,-37.842,20.813
-0.578,0.447,0.711,31.982,-35.828,18.494
-0.612,0.469,0.710,35.095,-30.212,8.911
-0.614,0.467,0.706,32.471,-20.020,3.601
-0.582,0.434,0.742,18.494,-15.808,9.460
-0.574,0.438,0.702,16.052,-21.240,14.038
-0.593,0.437,0.680,22.400,-30.151,16.418
-0.628,0.432,0.664,29.602,-40.283,17.578
-0.625,0.408,0.653,36.438,-49.194,17.578
-0.625,0.412,0.663,38.757,-52.856,17.944
-0.637,0.405,0.699,35.156,-49.011,18.433
-0.656,0.379,0.714,25.757,-37.720,17.151
-0.664,0.361,0.705,12.939,-21.179,14.771
-0.677,0.339,0.705,5.249,-4.700,9.583
-0.682,0.332,0.698,3.052,7.446,-0.671
-0.660,0.359,0.723,6.775,13.306,-9.766
-0.635,0.395,0.730,10.254,10.620,-15.198
-0.598,0.441,0.710,11.536,3.418,-12.146
-0.600,0.419,0.674,14.893,-3.784,-5.310
-0.635,0.393,0.651,19.165,-8.362,-1.160
-0.677,0.365,0.629,22.156,-12.756,2.563
-0.711,0.339,0.609,25.024,-14.893,2.502
-0.729,0.332,0.586,27.588,-12.939,0.122
-0.749,0.335,0.596,29.846,-7.141,-1.099
-0.757,0.345,0.626,31.189,-0.244,-1.648
-0.741,0.348,0.662,28.320,4.272,-2.502
-0.715,0.361,0.694,24.048,5.371,-2.930
-0.679,0.377,0.716,19.958,4.089,-3.052
-0.658,0.383,0.723,15.991,0.977,-1.892
-0.660,0.375,0.705,12.390,-2.380,0.427
-0.677,0.366,0.672,10.803,-4.517,2.747
-0.691,0.364,0.642,11.292,-5.554,3.723
-0.702,0.360,0.629,13.611,-5.920,4.639
-0.714,0.354,0.626,16.479,-5.310,5.066
-0.720,0.358,0.634,18.860,-2.991,4.822
-0.710,0.364,0.655,19.592,0.000,4.456
-0.703,0.367,0.682,18.738,2.319,4.395
-0.700,0.364,0.699,16.418,4.456,4.150
-0.704,0.379,0.710,14.038,7.507,3.540
-0.706,0.397,0.712,12.146,8.911,2.197
-0.719,0.418,0.714,10.864,7.751,2.258
